step,time,car_id,driver_name,lap,lap_distance,velocity,battery_pct,tire_deg,attack_mode
1600,1.6010187864303589,2,Driver 2,4,1838.5126953125,42.50681690651732,73.8051752235991,0.0020191241055727005,False
1600,1.6010187864303589,3,Driver 3,4,1922.8436279296875,53.40298842220058,73.41265849565022,0.0020206000190228224,False
1600,1.6010187864303589,4,Driver 4,4,1834.4183349609375,41.77632953991129,73.83729773031153,0.002019015606492758,False
1600,1.6010187864303589,5,Driver 5,4,1911.2728271484375,52.2159550771437,73.45881994434988,0.002020304324105382,False
1600,1.6010187864303589,6,Driver 6,4,1873.06396484375,47.708069262226765,73.6312152170959,0.0020196903496980667,False
1600,1.6010187864303589,7,Driver 7,4,1797.583251953125,33.41810492217883,74.08005968778971,0.002018480561673641,False
1600,1.6010187864303589,8,Driver 8,4,1860.891357421875,46.033762234461314,73.68664797594187,0.002019499661400914,False
1600,1.6010187864303589,9,Driver 9,5,0.0269775390625,55.77622633194286,73.31416383795428,0.002021046355366707,False
1600,1.6010187864303589,10,Driver 10,4,1855.631103515625,45.255993160122046,73.72052423600482,0.0020193946547806263,False
1700,1.7010234594345093,1,Driver 1,4,1782.8626708984375,28.27965216464037,74.20454243757632,0.0020182905718684196,False
1700,1.7010234594345093,2,Driver 2,4,1838.5126953125,42.50681690651732,73.8051752235991,0.0020191241055727005,False
1700,1.7010234594345093,3,Driver 3,4,1922.8436279296875,53.40298842220058,73.41265849565022,0.0020206000190228224,False
1700,1.7010234594345093,4,Driver 4,4,1834.4183349609375,41.77632953991129,73.83729773031153,0.002019015606492758,False
1700,1.7010234594345093,5,Driver 5,4,1911.2728271484375,52.2159550771437,73.45881994434988,0.002020304324105382,False
1700,1.7010234594345093,6,Driver 6,4,1873.06396484375,47.708069262226765,73.6312152170959,0.0020196903496980667,False
1700,1.7010234594345093,7,Driver 7,4,1797.583251953125,33.41810492217883,74.08005968778971,0.002018480561673641,False
1700,1.7010234594345093,8,Driver 8,4,1860.891357421875,46.033762234461314,73.68664797594187,0.002019499661400914,False
1700,1.7010234594345093,9,Driver 9,5,0.0269775390625,55.77622633194286,73.31416383795428,0.002021046355366707,False
1700,1.7010234594345093,10,Driver 10,4,1855.631103515625,45.255993160122046,73.72052423600482,0.0020193946547806263,False
1800,1.8010281324386597,1,Driver 1,4,1782.8626708984375,28.27965216464037,74.20454243757632,0.0020182905718684196,False
1800,1.8010281324386597,2,Driver 2,4,1838.5126953125,42.50681690651732,73.8051752235991,0.0020191241055727005,False
1800,1.8010281324386597,3,Driver 3,4,1922.8436279296875,53.40298842220058,73.41265849565022,0.0020206000190228224,False
1800,1.8010281324386597,4,Driver 4,4,1834.4183349609375,41.77632953991129,73.83729773031153,0.002019015606492758,False
1800,1.8010281324386597,5,Driver 5,4,1911.2728271484375,52.2159550771437,73.45881994434988,0.002020304324105382,False
1800,1.8010281324386597,6,Driver 6,4,1873.06396484375,47.708069262226765,73.6312152170959,0.0020196903496980667,False
1800,1.8010281324386597,7,Driver 7,4,1797.583251953125,33.41810492217883,74.08005968778971,0.002018480561673641,False
1800,1.8010281324386597,8,Driver 8,4,1860.891357421875,46.033762234461314,73.68664797594187,0.002019499661400914,False
1800,1.8010281324386597,9,Driver 9,5,0.0269775390625,55.77622633194286,73.31416383795428,0.002021046355366707,False
1800,1.8010281324386597,10,Driver 10,4,1855.631103515625,45.255993160122046,73.72052423600482,0.0020193946547806263,False
1900,1.90103280544281,1,Driver 1,4,1782.8626708984375,28.27965216464037,74.20454243757632,0.0020182905718684196,False
1900,1.90103280544281,2,Driver 2,4,1838.5126953125,42.50681690651732,73.8051752235991,0.0020191241055727005,False
1900,1.90103280544281,3,Driver 3,4,1922.8436279296875,53.40298842220058,73.41265849565022,0.0020206000190228224,False
1900,1.90103280544281,4,Driver 4,4,1834.4183349609375,41.77632953991129,73.83729773031153,0.002019015606492758,False
1900,1.90103280544281,5,Driver 5,4,1911.2728271484375,52.2159550771437,73.45881994434988,0.002020304324105382,False
1900,1.90103280544281,6,Driver 6,4,1873.06396484375,47.708069262226765,73.6312152170959,0.0020196903496980667,False
1900,1.90103280544281,7,Driver 7,4,1797.583251953125,33.41810492217883,74.08005968778971,0.002018480561673641,False
1900,1.90103280544281,8,Driver 8,4,1860.891357421875,46.033762234461314,73.68664797594187,0.002019499661400914,False
1900,1.90103280544281,9,Driver 9,5,0.0269775390625,55.77622633194286,73.31416383795428,0.002021046355366707,False
1900,1.90103280544281,10,Driver 10,4,1855.631103515625,45.255993160122046,73.72052423600482,0.0020193946547806263,False
2000,2.001037359237671,1,Driver 1,4,1782.8626708984375,28.27965216464037,74.20454243757632,0.0020182905718684196,False
2000,2.001037359237671,2,Driver 2,4,1838.5126953125,42.50681690651732,73.8051752235991,0.0020191241055727005,False
2000,2.001037359237671,3,Driver 3,4,1922.8436279296875,53.40298842220058,73.41265849565022,0.0020206000190228224,False
2000,2.001037359237671,4,Driver 4,4,1834.4183349609375,41.77632953991129,73.83729773031153,0.002019015606492758,False
2000,2.001037359237671,5,Driver 5,4,1911.2728271484375,52.2159550771437,73.45881994434988,0.002020304324105382,False
2000,2.001037359237671,6,Driver 6,4,1873.06396484375,47.708069262226765,73.6312152170959,0.0020196903496980667,False
2000,2.001037359237671,7,Driver 7,4,1797.583251953125,33.41810492217883,74.08005968778971,0.002018480561673641,False
2000,2.001037359237671,8,Driver 8,4,1860.891357421875,46.033762234461314,73.68664797594187,0.002019499661400914,False
2000,2.001037359237671,9,Driver 9,5,0.0269775390625,55.77622633194286,73.31416383795428,0.002021046355366707,False
2000,2.001037359237671,10,Driver 10,4,1855.631103515625,45.255993160122046,73.72052423600482,0.0020193946547806263,False
2100,2.101030111312866,1,Driver 1,4,1782.8626708984375,28.27965216464037,74.20454243757632,0.0020182905718684196,False
2100,2.101030111312866,2,Driver 2,4,1838.5126953125,42.50681690651732,73.8051752235991,0.0020191241055727005,False
2100,2.101030111312866,3,Driver 3,4,1922.8436279296875,53.40298842220058,73.41265849565022,0.0020206000190228224,False
2100,2.101030111312866,4,Driver 4,4,1834.4183349609375,41.77632953991129,73.83729773031153,0.002019015606492758,False
2100,2.101030111312866,5,Driver 5,4,1911.2728271484375,52.2159550771437,73.45881994434988,0.002020304324105382,False
2100,2.101030111312866,6,Driver 6,4,1873.06396484375,47.708069262226765,73.6312152170959,0.0020196903496980667,False
2100,2.101030111312866,7,Driver 7,4,1797.583251953125,33.41810492217883,74.08005968778971,0.002018480561673641,False
2100,2.101030111312866,8,Driver 8,4,1860.891357421875,46.033762234461314,73.68664797594187,0.002019499661400914,False
2100,2.101030111312866,9,Driver 9,5,0.0269775390625,55.77622633194286,73.31416383795428,0.002021046355366707,False
2100,2.101030111312866,10,Driver 10,4,1855.631103515625,45.255993160122046,73.72052423600482,0.0020193946547806263,False
2200,2.2010228633880615,1,Driver 1,4,1782.8626708984375,28.27965216464037,74.20454243757632,0.0020182905718684196,False
2200,2.2010228633880615,2,Driver 2,4,1838.5126953125,42.50681690651732,73.8051752235991,0.0020191241055727005,False
2200,2.2010228633880615,3,Driver 3,4,1922.8436279296875,53.40298842220058,73.41265849565022,0.0020206000190228224,False
2200,2.2010228633880615,4,Driver 4,4,1834.4183349609375,41.77632953991129,73.83729773031153,0.002019015606492758,False
2200,2.2010228633880615,5,Driver 5,4,1911.2728271484375,52.2159550771437,73.45881994434988,0.002020304324105382,False
2200,2.2010228633880615,6,Driver 6,4,1873.06396484375,47.708069262226765,73.6312152170959,0.0020196903496980667,False
2200,2.2010228633880615,7,Driver 7,4,1797.583251953125,33.41810492217883,74.08005968778971,0.002018480561673641,False
2200,2.2010228633880615,8,Driver 8,4,1860.891357421875,46.033762234461314,73.68664797594187,0.002019499661400914,False
2200,2.2010228633880615,9,Driver 9,5,0.0269775390625,55.77622633194286,73.31416383795428,0.002021046355366707,False
2200,2.2010228633880615,10,Driver 10,4,1855.631103515625,45.255993160122046,73.72052423600482,0.0020193946547806263,False
